journal_title,issn_print,issn_online,source,area,rank,active_status,source_type,best_rank,area_group,major_group
Accounting in Europe,1744-9480,1744-9499,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Accounting in Europe,1744-9480,1744-9499,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
"Accounting, Economics and Law – A Convivium",2194-6051,2152-2820,ABDC,"Accounting, auditing and accountability",B,,,,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Economics and Law – A Convivium",2194-6051,2152-2820,Scimago,Accounting,Q3,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Economics and Law – A Convivium",2194-6051,2152-2820,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q2,,,Q1,"Economics, Econometrics and Finance","Business, Economics & Management"
"Accounting, Economics and Law – A Convivium",2194-6051,2152-2820,Scimago,Law,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
"Accounting, Economics and Law – A Convivium",2194-6051,2152-2820,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Economics and Law – A Convivium",2194-6051,2152-2820,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
"Accounting, Economics and Law – A Convivium",2194-6051,2152-2820,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
"Accounting, Finance and Governance Review",2009-8766,2737-7482,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Finance and Governance Review",2009-8766,2737-7482,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Finance and Governance Review",2009-8766,2737-7482,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
"Accounting, Organizations and Society",0361-3682,1873-6289,ABDC,"Accounting, auditing and accountability",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Organizations and Society",0361-3682,1873-6289,AJG,Finance & Accounting,4*,,,,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Organizations and Society",0361-3682,1873-6289,Scimago,Accounting,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Organizations and Society",0361-3682,1873-6289,Scimago,Applied Psychology,Q1,,,Q1,Psychology,Social Sciences & Humanities
"Accounting, Organizations and Society",0361-3682,1873-6289,Scimago,Information Systems and Management,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
"Accounting, Organizations and Society",0361-3682,1873-6289,Scimago,Organizational Behavior and Human Resource Management,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Organizations and Society",0361-3682,1873-6289,Scimago,Sociology and Political Science,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
"Accounting, Organizations and Society",0361-3682,1873-6289,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
"Accounting, Organizations and Society",0361-3682,1873-6289,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
"Accounting, Organizations and Society",0361-3682,1873-6289,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Acta Oeconomica,0001-6373,1588-2659,ABDC,Other economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Acta Oeconomica,0001-6373,1588-2659,Scimago,Economics and Econometrics,Q4,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Acta Oeconomica,0001-6373,1588-2659,Scimago,"Geography, Planning and Development",Q4,,,Q3,Social Sciences,Social Sciences & Humanities
Acta Oeconomica,0001-6373,1588-2659,Scimago,Political Science and International Relations,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Acta Oeconomica,0001-6373,1588-2659,Scimago,Sociology and Political Science,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Acta Oeconomica,0001-6373,1588-2659,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Acta Oeconomica,0001-6373,1588-2659,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Acta Psychologica,0001-6918,1873-6297,ABDC,"Strategy, management and organisational behaviour",A ,,,,"Business, Management and Accounting","Business, Economics & Management"
Acta Psychologica,0001-6918,1873-6297,Scimago,Arts and Humanities (miscellaneous),Q1,,,Q1,Arts and Humanities,Social Sciences & Humanities
Acta Psychologica,0001-6918,1873-6297,Scimago,Developmental and Educational Psychology,Q2,,,Q1,Psychology,Social Sciences & Humanities
Acta Psychologica,0001-6918,1873-6297,Scimago,Experimental and Cognitive Psychology,Q2,,,Q1,Psychology,Social Sciences & Humanities
Acta Psychologica,0001-6918,1873-6297,Scimago,Medicine (miscellaneous),Q1,,,Q1,Medicine,Healthcare & Medical Systems
Acta Psychologica,0001-6918,1873-6297,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Acta Psychologica,0001-6918,1873-6297,Scopus,Psychology,,Active,Journal,,Psychology,Social Sciences & Humanities
Acta Turistica,0353-4316,1848-6061,ABDC,Tourism,C,,,,"Business, Management and Accounting","Business, Economics & Management"
Acta Turistica,0353-4316,1848-6061,Scimago,"Economics, Econometrics and Finance (miscellaneous)",Q3,,,Q3,"Economics, Econometrics and Finance","Business, Economics & Management"
Acta Turistica,0353-4316,1848-6061,Scimago,"Geography, Planning and Development",Q4,,,Q3,Social Sciences,Social Sciences & Humanities
Acta Turistica,0353-4316,1848-6061,Scimago,"Tourism, Leisure and Hospitality Management",Q4,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Acta Turistica,0353-4316,1848-6061,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Acta Turistica,0353-4316,1848-6061,Scopus,"Economics, Econometrics and Finance",,Active,Journal,,"Economics, Econometrics and Finance","Business, Economics & Management"
Acta Turistica,0353-4316,1848-6061,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Acta Universitatis Bohemiae Meridionalis,1212-3285,2336-4297,ABDC,Applied economics,C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Action Learning Research and Practice,1476-7333,1476-7341,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Action Learning Research and Practice,1476-7333,1476-7341,Scimago,"Business, Management and Accounting (miscellaneous)",Q3,,,Q3,"Business, Management and Accounting","Business, Economics & Management"
Action Learning Research and Practice,1476-7333,1476-7341,Scimago,Education,Q3,,,Q3,Social Sciences,Social Sciences & Humanities
Action Learning Research and Practice,1476-7333,1476-7341,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Action Learning Research and Practice,1476-7333,1476-7341,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Action Learning and Action Research Journal,1326-964X,1326-964X,ABDC,"Strategy, management and organisational behaviour",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
Active Learning in Higher Education,1469-7874,1741-2625,ABDC,Human resources and industrial relations,B,,,,"Business, Management and Accounting","Business, Economics & Management"
Active Learning in Higher Education,1469-7874,1741-2625,Scimago,Education,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Active Learning in Higher Education,1469-7874,1741-2625,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Actuarial Research Clearinghouse,0732-5428,,ABDC,"Banking, finance and investment",C ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
Adelaide Law Review,0065-1915,,ABDC,Commercial law,A ,,,,Social Sciences,Social Sciences & Humanities
Adelaide Law Review,0065-1915,,Scimago,Law,Q4,,,Q4,Social Sciences,Social Sciences & Humanities
Adelaide Law Review,0065-1915,,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Administration and Society,0095-3997,1552-3039,ABDC,"Strategy, management and organisational behaviour",B,,,,"Business, Management and Accounting","Business, Economics & Management"
Administration and Society,0095-3997,1552-3039,AJG,Public Sector Management,2,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Administration and Society,0095-3997,1552-3039,Scimago,Marketing,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
Administration and Society,0095-3997,1552-3039,Scimago,Public Administration,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Administration and Society,0095-3997,1552-3039,Scimago,Sociology and Political Science,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Administration and Society,0095-3997,1552-3039,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Administration and Society,0095-3997,1552-3039,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Administrative Science Quarterly,0001-8392,1930-3815,ABDC,"Strategy, management and organisational behaviour",A* ,,,,"Business, Management and Accounting","Business, Economics & Management"
Administrative Science Quarterly,0001-8392,1930-3815,AJG,General & Strategy,4*,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
Administrative Science Quarterly,0001-8392,1930-3815,Scimago,Arts and Humanities (miscellaneous),Q1,,,Q1,Arts and Humanities,Social Sciences & Humanities
Administrative Science Quarterly,0001-8392,1930-3815,Scimago,Public Administration,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Administrative Science Quarterly,0001-8392,1930-3815,Scimago,Sociology and Political Science,Q1,,,Q1,Social Sciences,Social Sciences & Humanities
Administrative Science Quarterly,0001-8392,1930-3815,Scopus,Arts and Humanities,,Active,Journal,,Arts and Humanities,Social Sciences & Humanities
Administrative Science Quarterly,0001-8392,1930-3815,Scopus,Social Sciences,,Active,Journal,,Social Sciences,Social Sciences & Humanities
Administrative Sciences,,2076-3387,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
Administrative Sciences,,2076-3387,Scimago,"Business, Management and Accounting (miscellaneous)",Q2,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Administrative Sciences,,2076-3387,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
Administrative Theory and Praxis,1084-1806,1949-0461,ABDC,"Strategy, management and organisational behaviour",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
Administrative Theory and Praxis,1084-1806,1949-0461,Scimago,Business and International Management,Q3,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Administrative Theory and Praxis,1084-1806,1949-0461,Scimago,Public Administration,Q3,,,Q2,Social Sciences,Social Sciences & Humanities
Administrative Theory and Praxis,1084-1806,1949-0461,Scimago,Sociology and Political Science,Q2,,,Q2,Social Sciences,Social Sciences & Humanities
Administrative Theory and Praxis,1084-1806,1949-0461,Scimago,Strategy and Management,Q3,,,Q2,"Business, Management and Accounting","Business, Economics & Management"
Administrative Theory and Praxis,1084-1806,1949-0461,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
